0.287941,-0.413165,-0.995994,-0.592189,-0.398813,-0.384083,-0.651719,-0.285703
-0.182279,-0.158874,-0.579084,-0.181216,-0.592278,-0.179496,-0.180229,-0.6078
-0.785458,-0.307804,-0.014328,-0.589478,-0.0769849,-0.817393,-0.459112,-0.0812108
-0.890244,-0.370325,-0.515275,0.07143,-0.503397,-0.443057,-0.300626,-0.998414
-0.867199,-0.970218,-0.397275,-1,0.357037,-0.99997,-0.63394,-0.430773
-0.432547,-0.316269,-0.575941,-0.57188,-0.999988,0.360084,-0.540589,-0.462272
-0.309098,-0.197655,-0.999998,-0.210555,-1,-0.392392,0.115063,-0.288128
-0.620224,-0.789055,-0.635101,-0.133305,-0.175851,-0.113083,-0.947411,0.478478
0.0275287,0.173128,0.0731492,0.125168,1.30954e-07,5.80569e-05,0.0453728,6.18983e-05
11.1793,644.009,737.64,17.2578,8.68823,9.40147,20.0752,532.717
435.407,330.646,622.74,232.893,571.002,374.599,272.976,485.223